save_timesteps,layer_idxs,embedder,emb_dim,n_samples,normalize_embeddings,Recall@1,Recall@5,Recall@10
"[49, 47, 45, 40, 35]",{'up_blocks': {'attn1': 'all'}},ConcatGAP,33600,128,True,0.8046875,0.8671875,0.9296875
"[47, 45, 40]",{'up_blocks': {'attn1': 'all'}},ConcatGAP,20160,128,True,0.8046875,0.875,0.921875
"[47, 45, 40]","{'down_blocks': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGAP,33600,128,True,0.8046875,0.8984375,0.9296875
"[47, 45, 40]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGAP,24000,128,True,0.8046875,0.8828125,0.921875
"[40, 30, 20]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGAP,24000,128,True,0.8046875,0.8671875,0.90625
"[40, 30, 20]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,24000,128,True,0.8046875,0.8515625,0.90625
"[40, 30, 20]",{'down_blocks': {'attn1': 'all'}},ConcatGAP,13440,128,True,0.796875,0.859375,0.8984375
"[40, 30, 20]",{'down_blocks': {'attn1': 'all'}},ConcatGeM,13440,128,True,0.796875,0.8515625,0.8828125
"[47, 45, 40]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,24000,128,True,0.796875,0.875,0.9296875
"[40, 30, 20]","{'down_blocks': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGAP,33600,128,True,0.7890625,0.859375,0.8984375
"[40, 30, 20]","{'down_blocks': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,33600,128,True,0.7890625,0.84375,0.8984375
"[48, 46, 42]",{'up_blocks': {'attn1': 'all'}},ConcatGeM,20160,128,True,0.7890625,0.859375,0.890625
"[49, 47, 45, 40, 35]",{'up_blocks': {'attn1': 'all'}},ConcatGeM,33600,128,True,0.7890625,0.84375,0.890625
"[40, 30, 20]",{'up_blocks': {'attn1': 'all'}},ConcatGeM,20160,128,True,0.7890625,0.84375,0.90625
"[48, 46, 42]","{'down_blocks': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,33600,128,True,0.7890625,0.859375,0.8984375
"[48, 46, 42]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,24000,128,True,0.78125,0.84375,0.8984375
"[40, 30, 20]",{'up_blocks': {'attn1': 'all'}},ConcatGAP,20160,128,True,0.78125,0.8515625,0.90625
"[49, 47, 45, 40, 35]","{'down_blocks': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,56000,128,True,0.78125,0.84375,0.8984375
"[49, 47, 45, 40, 35]","{'mid_block': {'attn1': 'all'}, 'up_blocks': {'attn1': 'all'}}",ConcatGeM,40000,128,True,0.78125,0.84375,0.8984375
"[40, 30, 20]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGAP,51840,128,True,0.765625,0.8515625,0.8828125
"[47, 45, 40]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGAP,51840,128,True,0.7578125,0.828125,0.8671875
"[48, 46, 42]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGAP,51840,128,True,0.75,0.828125,0.8515625
"[40, 30, 20]",{'up_blocks': {'conv2': 'all'}},ConcatGAP,31680,128,True,0.7421875,0.84375,0.8515625
"[49, 47, 45, 40, 35]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGAP,86400,128,True,0.7421875,0.8359375,0.8828125
"[49, 47, 45, 40, 35]",{'up_blocks': {'conv2': 'all'}},ConcatGAP,52800,128,True,0.7265625,0.8125,0.8359375
"[47, 45, 40]",{'up_blocks': {'conv2': 'all'}},ConcatGAP,31680,128,True,0.7265625,0.8046875,0.8515625
"[48, 46, 42]",{'up_blocks': {'conv2': 'all'}},ConcatGAP,31680,128,True,0.7265625,0.7890625,0.8359375
"[47, 45, 40]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGeM,51840,128,True,0.671875,0.7265625,0.734375
"[47, 45, 40]",{'up_blocks': {'conv2': 'all'}},ConcatGeM,31680,128,True,0.6640625,0.7421875,0.7421875
"[48, 46, 42]",{'up_blocks': {'conv2': 'all'}},ConcatGeM,31680,128,True,0.6640625,0.703125,0.7109375
"[48, 46, 42]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGeM,51840,128,True,0.6328125,0.6875,0.6875
"[49, 47, 45, 40, 35]",{'up_blocks': {'conv2': 'all'}},ConcatGeM,52800,128,True,0.5546875,0.5859375,0.609375
"[49, 47, 45, 40, 35]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGeM,86400,128,True,0.5234375,0.5625,0.578125
"[40, 30, 20]",{'up_blocks': {'conv2': 'all'}},ConcatGeM,31680,128,True,0.1171875,0.125,0.140625
"[40, 30, 20]","{'up_blocks': {'attn1': 'all', 'conv2': 'all'}}",ConcatGeM,51840,128,True,0.1171875,0.1328125,0.140625
